Timestamp,Event
12-10-2024 12:05,Monitoring started
12-10-2024 12:05,Process: System Idle Process (PID: 0) started at 1970-01-01 05:30:00
12-10-2024 12:05,Process: System (PID: 4) started at 1970-01-01 05:30:00
12-10-2024 12:05,Process:  (PID: 140) started at 2024-10-10 13:48:55
12-10-2024 12:05,Process: Registry (PID: 176) started at 2024-10-10 13:48:55
12-10-2024 12:05,Process: HPSystemEventUtilityHost.exe (PID: 248) started at 2024-10-12 11:22:57
12-10-2024 12:05,Process: smss.exe (PID: 572) started at 2024-10-10 13:48:57
12-10-2024 12:05,Process: svchost.exe (PID: 684) started at 2024-10-10 13:50:55
12-10-2024 12:05,Process: svchost.exe (PID: 964) started at 2024-10-12 11:59:40
12-10-2024 12:05,Process: csrss.exe (PID: 992) started at 2024-10-10 13:49:05
12-10-2024 12:05,Process: wininit.exe (PID: 1096) started at 2024-10-10 13:49:07
12-10-2024 12:05,Process: services.exe (PID: 1236) started at 2024-10-10 13:49:07
12-10-2024 12:05,Process: LsaIso.exe (PID: 1244) started at 2024-10-10 13:49:07
12-10-2024 12:05,Process: lsass.exe (PID: 1272) started at 2024-10-10 13:49:07
12-10-2024 12:05,Process: dllhost.exe (PID: 1332) started at 2024-10-12 11:22:23
12-10-2024 12:05,Process: msedge.exe (PID: 1384) started at 2024-10-12 11:24:56
12-10-2024 12:05,Process: svchost.exe (PID: 1400) started at 2024-10-10 13:49:07
12-10-2024 12:05,Process: msedge.exe (PID: 1412) started at 2024-10-12 11:30:04
12-10-2024 12:05,Process: fontdrvhost.exe (PID: 1436) started at 2024-10-10 13:49:07
12-10-2024 12:05,Process: svchost.exe (PID: 1540) started at 2024-10-10 13:49:07
12-10-2024 12:05,Process: svchost.exe (PID: 1584) started at 2024-10-10 13:49:07
12-10-2024 12:05,Process: svchost.exe (PID: 1672) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 1680) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: atieclxx.exe (PID: 1736) started at 2024-10-12 00:58:11
12-10-2024 12:05,Process: svchost.exe (PID: 1752) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 1760) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 1764) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 1772) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 1900) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 1924) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 2016) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 2024) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 2036) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 2108) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 2120) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 2128) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 2212) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 2244) started at 2024-10-10 13:51:11
12-10-2024 12:05,Process: msedge.exe (PID: 2268) started at 2024-10-12 11:43:13
12-10-2024 12:05,Process: svchost.exe (PID: 2332) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 2440) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: OmenCap.exe (PID: 2524) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 2592) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 2604) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: PowerToys.AdvancedPaste.exe (PID: 2736) started at 2024-10-12 11:22:30
12-10-2024 12:05,Process: svchost.exe (PID: 2768) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 2776) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 2788) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: HPSystemEventUtilityBackground.exe (PID: 2796) started at 2024-10-12 11:22:55
12-10-2024 12:05,Process: svchost.exe (PID: 2944) started at 2024-10-12 11:26:33
12-10-2024 12:05,Process: svchost.exe (PID: 2996) started at 2024-10-10 17:26:13
12-10-2024 12:05,Process: NVDisplay.Container.exe (PID: 3104) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: TouchpointGpuInfo.exe (PID: 3156) started at 2024-10-12 11:45:31
12-10-2024 12:05,Process: hp-one-agent-service.exe (PID: 3168) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: amdfendrsr.exe (PID: 3180) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: atiesrxx.exe (PID: 3188) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 3196) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: DataExchangeHost.exe (PID: 3204) started at 2024-10-12 11:22:46
12-10-2024 12:05,Process: svchost.exe (PID: 3268) started at 2024-10-12 11:22:22
12-10-2024 12:05,Process: svchost.exe (PID: 3352) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: OfficeClickToRun.exe (PID: 3372) started at 2024-10-12 11:28:47
12-10-2024 12:05,Process: svchost.exe (PID: 3464) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 3500) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 3616) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 3624) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 3632) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: msedge.exe (PID: 3696) started at 2024-10-12 11:24:56
12-10-2024 12:05,Process: NetworkCap.exe (PID: 3736) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: Spotify.exe (PID: 3744) started at 2024-10-12 11:36:08
12-10-2024 12:05,Process: SysInfoCap.exe (PID: 3748) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: DiagsCap.exe (PID: 3756) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 3764) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: AppHelperCap.exe (PID: 3772) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: TouchpointAnalyticsClientService.exe (PID: 3784) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 3792) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: MemCompression (PID: 3800) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: pwsh.exe (PID: 3876) started at 2024-10-12 11:50:04
12-10-2024 12:05,Process: conhost.exe (PID: 3976) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: svchost.exe (PID: 4044) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: WmiPrvSE.exe (PID: 4068) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: unsecapp.exe (PID: 4372) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: Code.exe (PID: 4444) started at 2024-10-12 11:45:42
12-10-2024 12:05,Process: svchost.exe (PID: 4468) started at 2024-10-10 13:50:31
12-10-2024 12:05,Process: svchost.exe (PID: 4544) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: msedge.exe (PID: 4556) started at 2024-10-12 12:05:17
12-10-2024 12:05,Process: svchost.exe (PID: 4668) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: Code.exe (PID: 4732) started at 2024-10-12 11:50:02
12-10-2024 12:05,Process: svchost.exe (PID: 4796) started at 2024-10-10 13:49:08
12-10-2024 12:05,Process: svchost.exe (PID: 4832) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: svchost.exe (PID: 4856) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: svchost.exe (PID: 4896) started at 2024-10-10 13:53:01
12-10-2024 12:05,Process: spoolsv.exe (PID: 4900) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: svchost.exe (PID: 4928) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: svchost.exe (PID: 5084) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: wlanext.exe (PID: 5112) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: ETDService.exe (PID: 5244) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: HPCommRecovery.exe (PID: 5256) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: HPPrintScanDoctorService.exe (PID: 5264) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: svchost.exe (PID: 5276) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: svchost.exe (PID: 5292) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: svchost.exe (PID: 5300) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: svchost.exe (PID: 5320) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: RtkAudUService64.exe (PID: 5332) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: SECOMN64.exe (PID: 5340) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: servicehost.exe (PID: 5348) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: svchost.exe (PID: 5356) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: svchost.exe (PID: 5364) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: mc-fw-host.exe (PID: 5384) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: wslservice.exe (PID: 5392) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: nvcontainer.exe (PID: 5424) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: svchost.exe (PID: 5432) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: svchost.exe (PID: 5652) started at 2024-10-10 13:49:09
12-10-2024 12:05,Process: msedge.exe (PID: 5664) started at 2024-10-12 11:27:39
12-10-2024 12:05,Process: MoUsoCoreWorker.exe (PID: 5720) started at 2024-10-10 13:50:31
12-10-2024 12:05,Process: svchost.exe (PID: 5820) started at 2024-10-12 11:22:18
12-10-2024 12:05,Process: msedgewebview2.exe (PID: 5852) started at 2024-10-12 11:24:29
